project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
julialang/julia	840	Tue May 15 21:11:32 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	814	Tue May 15 22:40:09 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	843	Wed May 16 17:44:38 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	848	Fri May 18 04:08:05 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	191	Fri May 18 22:01:57 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	821	Fri May 18 22:01:57 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	850	Sat May 19 03:43:52 MDT 2012	vtjnash	3	831	vtjnash
julialang/julia	852	Sat May 19 04:42:36 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	845	Sat May 19 20:18:53 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	785	Sun May 20 16:50:49 MDT 2012	vtjnash	3	831	vtjnash
julialang/julia	854	Sun May 20 22:13:29 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	815	Mon May 21 17:14:38 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	837	Mon May 21 20:23:38 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	641	Mon May 21 20:26:17 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	804	Mon May 21 20:27:20 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	848	Mon May 21 20:45:15 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	441	Mon May 21 22:37:25 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	794	Tue May 22 03:06:46 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	745	Tue May 22 04:06:21 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	608	Tue May 22 10:40:09 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	853	Thu May 24 00:36:22 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	869	Thu May 24 00:49:56 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	873	Fri May 25 04:27:36 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	874	Fri May 25 19:31:41 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	572	Sat May 26 00:17:46 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	861	Sat May 26 16:42:20 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	878	Sat May 26 19:06:35 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	877	Sat May 26 19:24:41 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	888	Mon May 28 02:14:29 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	889	Mon May 28 03:55:35 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	890	Mon May 28 03:55:46 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	885	Mon May 28 04:22:15 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	876	Mon May 28 04:52:56 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	856	Mon May 28 04:55:34 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	651	Mon May 28 05:04:43 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	859	Mon May 28 12:35:23 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	891	Mon May 28 18:26:38 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	892	Mon May 28 19:16:31 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	794	Tue May 29 03:41:36 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	595	Tue May 29 09:20:53 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	896	Tue May 29 19:24:39 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	892	Tue May 29 20:09:32 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	898	Wed May 30 00:39:45 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	441	Wed May 30 21:20:09 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	11	Fri Jun 01 04:04:11 MDT 2012	vtjnash	3	831	vtjnash
julialang/julia	7	Fri Jun 01 04:04:16 MDT 2012	jeffbezanson	1	831	jeffbezanson, vtjnash
julialang/julia	10	Fri Jun 01 04:04:17 MDT 2012	vtjnash	3	831	vtjnash
julialang/julia	13	Fri Jun 01 04:04:17 MDT 2012	jeffbezanson	1	831	jeffbezanson, vtjnash
julialang/julia	908	Sat Jun 02 18:59:27 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	868	Tue Jun 05 03:27:08 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	895	Tue Jun 05 03:27:08 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	905	Tue Jun 05 03:46:48 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	920	Thu Jun 07 16:45:20 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	920	Thu Jun 07 19:02:08 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	18	Sun Jun 10 02:19:26 MDT 2012	jeffbezanson	1	831	jeffbezanson, vtjnash
julialang/julia	926	Tue Jun 12 21:07:36 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	931	Thu Jun 14 05:17:03 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	932	Thu Jun 14 19:05:54 MDT 2012	vtjnash	3	831	vtjnash
julialang/julia	218	Sat Jun 16 04:46:20 MDT 2012	jeffbezanson	1	831	jeffbezanson
