project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	84	Fri Jan 20 03:18:54 MST 2012	njx	1	864	redmunds, njx
adobe/brackets	115	Fri Jan 20 03:19:09 MST 2012	jasonsanjose	3	864	jasonsanjose
adobe/brackets	109	Fri Jan 20 03:42:12 MST 2012	njx	1	864	jasonsanjose, njx
adobe/brackets	88	Fri Jan 20 18:07:36 MST 2012	peterflynn	4	864	peterflynn, gruehle
adobe/brackets	109	Fri Jan 20 18:08:33 MST 2012	jasonsanjose	1	864	jasonsanjose, njx
adobe/brackets	76	Fri Jan 20 21:36:40 MST 2012	njx	1	864	peterflynn, njx
adobe/brackets	30	Fri Jan 20 21:41:20 MST 2012	peterflynn	1	864	peterflynn, tvoliter, chrisbank, njx
adobe/brackets	99	Fri Jan 20 23:13:34 MST 2012	peterflynn	2	864	peterflynn, gruehle
adobe/brackets	112	Fri Jan 20 23:38:49 MST 2012	joelrbrandt	8	864	joelrbrandt
adobe/brackets	112	Fri Jan 20 23:40:41 MST 2012	joelrbrandt	1	864	joelrbrandt, njx
adobe/brackets	121	Sat Jan 21 00:57:58 MST 2012	jasonsanjose	4	864	jasonsanjose
adobe/brackets	122	Sat Jan 21 01:11:31 MST 2012	peterflynn	3	864	peterflynn
adobe/brackets	121	Sat Jan 21 02:00:18 MST 2012	jasonsanjose	1	864	redmunds, jasonsanjose
adobe/brackets	112	Sat Jan 21 02:31:32 MST 2012	njx	1	864	peterflynn, joelrbrandt, njx
adobe/brackets	122	Sat Jan 21 02:34:14 MST 2012	peterflynn	1	864	peterflynn, tvoliter
adobe/brackets	121	Sat Jan 21 17:45:56 MST 2012	redmunds	1	864	redmunds, jasonsanjose
adobe/brackets	122	Sun Jan 22 00:14:21 MST 2012	tvoliter	2	864	peterflynn, tvoliter
adobe/brackets	30	Sun Jan 22 00:18:44 MST 2012	tvoliter	1	864	peterflynn, redmunds, tvoliter, chrisbank, njx
adobe/brackets	30	Sun Jan 22 01:15:29 MST 2012	redmunds	1	864	peterflynn, redmunds, tvoliter, chrisbank, njx
adobe/brackets	127	Sun Jan 22 21:28:06 MST 2012	njx	5	864	njx
adobe/brackets	84	Sun Jan 22 21:29:38 MST 2012	njx	1	864	redmunds, njx, joelrbrandt
adobe/brackets	112	Sun Jan 22 21:31:32 MST 2012	joelrbrandt	1	864	peterflynn, joelrbrandt, njx
adobe/brackets	130	Tue Jan 24 21:00:06 MST 2012	joelrbrandt	1	864	joelrbrandt
adobe/brackets	132	Tue Jan 24 21:20:14 MST 2012	joelrbrandt	1	864	joelrbrandt
