project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	121	Sat Jan 21 02:00:18 MST 2012	jasonsanjose	1	330	redmunds, jasonsanjose
adobe/brackets	112	Sat Jan 21 02:31:32 MST 2012	njx	1	330	peterflynn, joelrbrandt, njx
adobe/brackets	122	Sat Jan 21 02:34:14 MST 2012	peterflynn	1	330	peterflynn, tvoliter
adobe/brackets	30	Sun Jan 22 00:18:44 MST 2012	tvoliter	1	330	peterflynn, redmunds, tvoliter, chrisbank, njx
adobe/brackets	127	Sun Jan 22 21:28:06 MST 2012	njx	5	330	njx
adobe/brackets	130	Tue Jan 24 21:00:06 MST 2012	joelrbrandt	8	330	joelrbrandt
adobe/brackets	132	Tue Jan 24 21:20:14 MST 2012	joelrbrandt	3	330	joelrbrandt
adobe/brackets	130	Tue Jan 24 21:21:50 MST 2012	joelrbrandt	1	330	jasonsanjose, joelrbrandt
adobe/brackets	132	Thu Jan 26 17:43:32 MST 2012	joelrbrandt	1	330	jasonsanjose, joelrbrandt
adobe/brackets	132	Thu Jan 26 18:11:40 MST 2012	jasonsanjose	1	330	tvoliter, jasonsanjose, joelrbrandt
adobe/brackets	130	Thu Jan 26 18:12:10 MST 2012	jasonsanjose	1	330	tvoliter, jasonsanjose, joelrbrandt
adobe/brackets	136	Thu Jan 26 18:55:42 MST 2012	joelrbrandt	5	330	joelrbrandt
adobe/brackets	142	Fri Jan 27 00:34:13 MST 2012	njx	6	330	njx
adobe/brackets	148	Fri Jan 27 01:46:35 MST 2012	jasonsanjose	5	330	jasonsanjose
adobe/brackets	150	Fri Jan 27 02:34:31 MST 2012	njx	2	330	njx
adobe/brackets	152	Fri Jan 27 21:27:31 MST 2012	njx	1	330	njx
adobe/brackets	163	Sat Jan 28 01:42:45 MST 2012	peterflynn	3	330	peterflynn
adobe/brackets	119	Mon Jan 30 22:13:34 MST 2012	joelrbrandt	4	330	joelrbrandt
adobe/brackets	144	Mon Jan 30 22:34:18 MST 2012	jasonsanjose	3	330	jasonsanjose
adobe/brackets	149	Mon Jan 30 22:42:37 MST 2012	jasonsanjose	1	330	jasonsanjose
adobe/brackets	172	Tue Jan 31 04:33:19 MST 2012	tvoliter	6	330	tvoliter
adobe/brackets	172	Tue Jan 31 18:59:01 MST 2012	tvoliter	1	330	tvoliter, jasonsanjose
adobe/brackets	179	Tue Jan 31 23:22:08 MST 2012	njx	2	330	njx
adobe/brackets	191	Thu Feb 02 00:40:49 MST 2012	peterflynn	4	330	peterflynn
adobe/brackets	127	Thu Feb 02 21:57:01 MST 2012	njx	1	330	njx, joelrbrandt
adobe/brackets	197	Fri Feb 03 02:32:17 MST 2012	peterflynn	1	330	peterflynn
adobe/brackets	211	Tue Feb 07 15:15:15 MST 2012	gruehle	8	330	gruehle
adobe/brackets	216	Tue Feb 07 20:49:41 MST 2012	peterflynn	1	330	peterflynn
adobe/brackets	219	Wed Feb 08 20:53:38 MST 2012	peterflynn	1	330	peterflynn
adobe/brackets	223	Wed Feb 08 22:25:29 MST 2012	tvoliter	6	330	tvoliter
adobe/brackets	251	Tue Feb 14 00:37:22 MST 2012	peterflynn	1	330	peterflynn
adobe/brackets	138	Tue Feb 14 22:15:40 MST 2012	chrisbank	8	330	chrisbank
adobe/brackets	532	Wed Apr 04 00:18:36 MDT 2012	njx	2	330	njx
adobe/brackets	533	Wed Apr 04 00:37:34 MDT 2012	njx	1	330	njx
adobe/brackets	534	Wed Apr 04 00:49:46 MDT 2012	gruehle	7	330	gruehle
adobe/brackets	613	Wed Apr 11 04:55:04 MDT 2012	ryanstewart	295	330	ryanstewart
adobe/brackets	657	Tue Apr 17 05:55:50 MDT 2012	ryanstewart	1	330	ryanstewart
adobe/brackets	659	Tue Apr 17 18:25:16 MDT 2012	ryanstewart	2	330	ryanstewart
adobe/brackets	674	Wed Apr 18 00:12:56 MDT 2012	ryanstewart	1	330	ryanstewart
adobe/brackets	703	Fri Apr 20 17:37:05 MDT 2012	tvoliter	5	330	tvoliter
adobe/brackets	766	Sat Apr 28 18:36:16 MDT 2012	peterflynn	3	330	peterflynn
adobe/brackets	766	Sat Apr 28 18:36:26 MDT 2012	peterflynn	1	330	peterflynn, garthdb
adobe/brackets	830	Tue May 08 18:20:02 MDT 2012	ryanstewart	1	330	ryanstewart
adobe/brackets	526	Tue May 08 22:36:55 MDT 2012	garthdb	3	330	garthdb
adobe/brackets	733	Tue May 08 22:36:55 MDT 2012	garthdb	2	330	garthdb
adobe/brackets	315	Tue May 08 22:37:18 MDT 2012	gruehle	7	330	gruehle
adobe/brackets	389	Tue May 08 22:37:19 MDT 2012	gruehle	1	330	gruehle
adobe/brackets	391	Tue May 08 22:37:19 MDT 2012	gruehle	6	330	gruehle
adobe/brackets	422	Tue May 08 22:37:19 MDT 2012	gruehle	6	330	gruehle
adobe/brackets	748	Tue May 08 22:37:19 MDT 2012	gruehle	2	330	gruehle
adobe/brackets	752	Tue May 08 22:37:19 MDT 2012	gruehle	5	330	gruehle
adobe/brackets	776	Tue May 08 22:37:19 MDT 2012	gruehle	6	330	gruehle
adobe/brackets	777	Tue May 08 22:37:19 MDT 2012	gruehle	3	330	gruehle
adobe/brackets	827	Tue May 08 22:37:19 MDT 2012	gruehle	2	330	gruehle
adobe/brackets	517	Tue May 08 22:38:02 MDT 2012	jasonsanjose	6	330	jasonsanjose
adobe/brackets	741	Tue May 08 22:38:02 MDT 2012	jasonsanjose	5	330	jasonsanjose
adobe/brackets	800	Tue May 08 22:38:02 MDT 2012	jasonsanjose	5	330	jasonsanjose
adobe/brackets	838	Tue May 08 22:38:02 MDT 2012	jasonsanjose	6	330	jasonsanjose
adobe/brackets	360	Tue May 08 22:39:29 MDT 2012	njx	3	330	njx
adobe/brackets	510	Tue May 08 22:39:29 MDT 2012	njx	3	330	njx
adobe/brackets	561	Tue May 08 22:39:29 MDT 2012	njx	3	330	njx
adobe/brackets	600	Tue May 08 22:39:29 MDT 2012	njx	3	330	njx
adobe/brackets	601	Tue May 08 22:39:29 MDT 2012	njx	3	330	njx
adobe/brackets	623	Tue May 08 22:39:29 MDT 2012	njx	3	330	njx
adobe/brackets	788	Tue May 08 22:39:29 MDT 2012	njx	4	330	njx
adobe/brackets	425	Tue May 08 22:39:46 MDT 2012	peterflynn	4	330	peterflynn
