projectId	bugNumer	date	login	assignmentType	eventId	commitSHA
460078	152	2011-04-20T18:07:07.000Z	groner	2	328515	011fa39c2a0b5da843395b538fc4e52e5ade8287	
460078	153	2011-04-20T18:07:07.000Z	groner	2	328518	ec4d446f898e7860c12a337200c31c3b75f663cc	
460078	159	2011-04-20T18:07:07.000Z	groner	2	328522	aab3df7aeaf79908e8b6212288b283adb42b1ce6	
460078	169	2011-04-20T18:07:07.000Z	groner	2	328516	fa722447f89e0215463cb39dfd1532189057fea8	
460078	170	2011-04-20T18:07:07.000Z	groner	2	328514	5a8ad8fe329fc09898ff43a060710265d38393be	
460078	189	2011-04-20T18:07:07.000Z	groner	2	328517	b370fac4fc7e4c4da3b7968ed44cf3745c2ad7a4	
460078	217	2011-04-20T18:07:07.000Z	groner	2	328524	ce7ab3d1ee0e496c4b9838950b56fc1555b5bcf0	
460078	224	2011-04-20T18:07:07.000Z	groner	2	328520	c79aba92f6b058742c9ae20a9382f6abc68afcea	
460078	242	2011-04-20T18:07:07.000Z	groner	2	328523	4a569560d8b667e625f8d9c9aea2e02945af058c	
460078	260	2011-04-20T18:07:07.000Z	groner	2	328526	d6db4b174940782867d1cf42e1e0152046fe05c1	
460078	276	2011-04-20T18:07:07.000Z	groner	2	328527	c37bb2dc2880ac066c0a465eb6390bf870c84a29	
507775	864	2011-04-20T19:43:15.000Z	imotov	2	330093	ffc8c3b68a775a61924ca0cd01dc8b9b97a96d09	
507775	865	2011-04-20T19:43:15.000Z	imotov	2	330094	c3f3c268c8854175a7f0d4cca3ad5fb6901f6e35	
507775	866	2011-04-20T19:43:15.000Z	imotov	2	330095	3b21759bec0a668970de0ba0ef92af64dc9f866e	
507775	868	2011-04-20T19:43:15.000Z	imotov	2	330096	af39f07213ccce2419688191b47fbac5fbd4de40	
507775	869	2011-04-20T19:43:15.000Z	imotov	2	330097	f5dbcb2fa47971062f6d8dc81b88586e02132da1	
507775	871	2011-04-21T15:44:47.000Z	imotov	2	341340	568dec6b5add2e0778d2f91bc3ef010c105626c4	
507775	873	2011-04-21T15:44:47.000Z	imotov	2	341342	adc3dc0e994ababa7917c81a61cc93f4690060d4	
507775	874	2011-04-21T15:44:47.000Z	imotov	2	341341	dedbedbb77511d470b1ceddb8ce6e58489599d26	
507775	875	2011-04-21T15:44:47.000Z	imotov	2	341343	db04649271ecc1c81e33d3a0d5fb039644acf687	
507775	801	2011-04-22T03:39:45.000Z	tsuna	2	348803	0d150e691860a905b1e791b426ca11f644a97af7	
507775	802	2011-04-22T03:39:45.000Z	tsuna	2	348805	8c9000c54cafe7861ac81b236c29b3df332e6d2f	
507775	803	2011-04-22T03:39:45.000Z	tsuna	2	348804	e759b4c9715e067d73e91b998e7396ec078fc33f	
507775	804	2011-04-22T03:39:45.000Z	tsuna	2	348806	20593fb9663029e37d65bc6b83f98d6c3778a088	
507775	809	2011-04-22T03:39:45.000Z	tsuna	2	348807	508d1d40fba92cd0b2c544cef0213a9c18e9002f	
507775	810	2011-04-22T03:39:45.000Z	tsuna	2	348808	ff8dc2673f74b85ea7ea55a7ea9900b29fc9fb25	
507775	811	2011-04-22T03:39:45.000Z	tsuna	2	348809	3138269573f92dd139789c72a3b70601049fcf73	
507775	814	2011-04-22T03:39:45.000Z	tsuna	2	348810	fdbccf28b04b4ba1df2f9f59a63a35354206e26e	
507775	815	2011-04-22T03:39:45.000Z	tsuna	2	348811	8a5dd90885347de6b765d9269dc5e99bbbdb3c25	
507775	816	2011-04-22T03:39:45.000Z	tsuna	2	348812	7ce7fb33e5d37a0991b6b73965b3938b2dbb4565	
507775	817	2011-04-22T03:39:45.000Z	tsuna	2	348813	2dd5094d37a9e2d778e5fc3a4c9e283d26e678a2	
507775	818	2011-04-22T03:39:45.000Z	tsuna	2	348814	dc0e493ccec367cb312c979f29fb1d88a0d22124	
507775	819	2011-04-22T03:39:45.000Z	tsuna	2	348815	14d98a7319555331e5a660f4f31122b9225250af	
507775	820	2011-04-22T03:39:45.000Z	tsuna	2	348816	74838fe1aaff86d156def5e4572f0f6b6f91379d	
507775	821	2011-04-22T03:39:45.000Z	tsuna	2	348817	3ff35d42b5bd42c8a88bb84da09d2601eb22d2eb	
507775	822	2011-04-22T03:39:45.000Z	tsuna	2	348818	e4cbdfa05bbe87f636d76aa7539e2ab3f0ec39b1	
507775	823	2011-04-22T03:39:45.000Z	tsuna	2	348819	db1dcaded33fd7cb716afbd562d425602b6f2c90	
507775	824	2011-04-22T03:39:45.000Z	tsuna	2	348822	105d60ac9c28b1be4ab1e8d04a39c13cf9641c18	
507775	825	2011-04-22T03:39:45.000Z	tsuna	2	348820	4e4495ff1d27f65d4acdcc239998a463151fe561	
507775	826	2011-04-22T03:39:45.000Z	tsuna	2	348821	5d6e84f206c85476d25e4b26e7998db2067e3bac	
